Post Date,Description,Debit,Credit,Balance_anon
12/28/17,SQ *STAUNTON BOOKS STAUNTON US,5.5,,3456.96
12/27/17,HARRIS TEETER #0 CHARLOTTESVILUS,5.25,,3462.46
12/27/17,GIFT,50,,3467.71
12/26/17,RESTAURANT,14.8,,3517.71
12/26/17,RESTAURANT,13.6,,3532.51
12/26/17,RESTAURANT,11.53,,3546.11
12/22/17,RESTAURANT,6.37,,3557.64
12/22/17,HARRIS TEETER #0 CHARLOTTESVILUS,10,,3564.01
12/22/17,ANN TAYLOR STORE #1149 ARLINGTON US,47.17,,3574.01
12/21/17,WHOLEFDS ARL 100 ARLINGTON US,10.61,,3621.18
12/21/17,LYFT *RIDE TUE 7AM LYFT.COM US,2.99,,3631.79
12/20/17,RESTAURANT,3.85,,3634.78
12/20/17,TRADER JOE'S #640 QPS ARLINGTON US,26.47,,3638.63
12/19/17,WHOLEFDS ARL 100 ARLINGTON US,16.87,,3665.1
12/19/17,UBER TRIP 75JR2 HELP.UBER.COMUS,7.04,,3681.97
12/19/17,LYFT *RIDE SAT 10PM LYFT.COM US,6.83,,3689.01
12/19/17,RESTAURANT,8.14,,3695.84
12/19/17,LYFT *RIDE SAT 1PM LYFT.COM US,6.98,,3703.98
12/19/17,RESTAURANT,4.37,,3710.96
12/18/17,WHOLEFDS ARL 100 ARLINGTON US,6.93,,3715.33
12/16/17,TRADER JOE'S #640 QPS ARLINGTON US,,12.26,3722.26
12/16/17,LYFT *RIDE WED 7PM LYFT.COM US,3.4,,3710
12/16/17,TRADER JOE'S #640 QPS ARLINGTON US,12.26,,3713.4
12/16/17,TRADER JOE'S #640 QPS ARLINGTON US,12.26,,3725.66
12/15/17,WHOLEFDS ARL 100 ARLINGTON US,6.35,,3737.92
12/15/17,WHOLEFDS ARL 100 ARLINGTON US,14.83,,3744.27
12/15/17,PAYROLL,,1983.37,3759.1
12/15/17,LYFT *RIDE WED 7AM LYFT.COM US,3.78,,1775.73
12/14/17,METRO,10,,1779.51
12/14/17,LYFT *RIDE MON 7PM LYFT.COM US,11.86,,1789.51
12/14/17,Spotify USA 646-8375380 US,9.99,,1801.37
12/13/17,TRADER JOE'S #640 QPS ARLINGTON US,31.75,,1811.36
12/13/17,Dick'sSportingGoods.com 877-8469997 US,42.38,,1843.11
12/12/17,NORDSTROM RACK #0673 WASHINGTON US,,273.37,1885.49
12/12/17,RESTAURANT,12.1,,1612.12
12/12/17,TRADER JOE'S #640 QPS ARLINGTON US,15.73,,1624.22
12/12/17,TFI*TICKETFLY EVENTS 877-435-9849 US,33,,1639.95
12/12/17,NOLAS HAIR NAIL &amp; SKIN CAARLINGTON US,19,,1672.95
12/12/17,RESTAURANT,4.68,,1691.95
12/12/17,TRADER JOE'S #640 QPS ARLINGTON US,12.26,,1696.63
12/12/17,BARNESNOBLE Arlington US,12.11,,1708.89
12/9/17,BARNESNOBLE Arlington US,20.99,,1721
12/9/17,RESTAURANT,4.4,,1741.99
12/9/17,WHOLEFDS ARL 100 ARLINGTON US,5.24,,1746.39
12/8/17,TRADER JOE'S #640 QPS ARLINGTON US,24.73,,1751.63
12/7/17,WASHINGTON GAS,105.58,,1776.36
12/7/17,VENMO 855-812-4430 US,20,,1881.94
12/7/17,VENMO 855-812-4430 US,8.71,,1901.94
12/6/17,LYFT *RIDE SUN 4PM LYFT.COM US,5.83,,1910.65
12/6/17,Etsy.com - thegemco 718-8557955 US,30,,1916.48
12/5/17,BARNESNOBLE Arlington US,24.79,,1946.48
12/5/17,DOMINION VA POWE,54.87,,1971.27
12/5/17,TAYLOR GOUR 1750 PENN 202-393-0800 US,11.53,,2026.14
12/5/17,SQ *THINKFOODLAB WASHINGTON US,7,,2037.67
12/5/17,LYFT *RIDE FRI 3PM LYFT.COM US,2.31,,2044.67
12/5/17,TRADER JOE'S #640 QPS ARLINGTON US,86.97,,2046.98
12/5/17,LYFT *RIDE SAT 5PM LYFT.COM US,9.83,,2133.95
12/5/17,LYFT *RIDE SAT 3PM LYFT.COM US,11.09,,2143.78
12/5/17,UBER TRIP PA3BB HELP.UBER.COMUS,8.54,,2154.87
12/5/17,WSC CLRNDN *DUES 212-246-6700 US,29.99,,2163.41
12/5/17,TRADER JOE'S #640 QPS ARLINGTON US,12.28,,2193.4
12/5/17,LYFT *RIDE SAT 9PM LYFT.COM US,8.64,,2205.68
12/2/17,WHOLEFDS ARL 100 ARLINGTON US,26.62,,2214.32
12/2/17,RESTAURANT,5.4,,2240.94
12/2/17,RESTAURANT,17,,2246.34
12/1/17,PAYROLL,,1964.17,2263.34
12/1/17,J CREW FACTORY.COM 866-739-5942 US,37.95,,299.17
